fpath,sid,name,sdate,edate,MultiSite
14434_SalmonCreek_103118_010919,14434,SalmonCreek,103118,10919,FALSE
16139_BrownBrook_103118_010919,16139,BrownBrook,103118,10919,FALSE
15499_WestBranchSalmonBrook_110818_010919,15499,WestBranchSalmonBrook,110818,10919,FALSE
15240_HubbardRiver_121818_010919,15240,HubbardRiver,121818,10919,FALSE
20153_BunnellBrook_121818_010919,20153,BunnellBrook,121818,10919,FALSE
19657_BunnellBrook_122718_010919,19657,BunnellBrook,122718,10919,FALSE
15801_MountHopeRiver_090518_092618,15801,MountHopeRiver,90518,92618,FALSE
15796_PendletonHillBrook_111918_013019,15796,PendletonHillBrook,111918,13019,FALSE
18720_EastBranchEightmileRiver_111918_013019,18720,EastBranchEightmileRiver,111918,13019,FALSE
15240_HubbardRiver_121818_041719,15240,HubbardRiver,121818,41719,FALSE
18421_MountHopeRiverSite1_032218_041118,18421,MountHopeRiverSite1,32218,41118,TRUE
18421_MountHopeRiverSite1_050818_071118,18421,MountHopeRiverSite1,50818,71118,TRUE
18421_MountHopeRiverSite2_050818_071118,18421,MountHopeRiverSite2,50818,71118,TRUE
18421_MountHopeRiverSite3_050818_071118,18421,MountHopeRiverSite3,50818,71118,TRUE
18421_MountHopeRiverSite1_071118_080818,18421,MountHopeRiverSite1,71118,80818,TRUE
18421_MountHopeRiverSite2_071118_080818,18421,MountHopeRiverSite2,71118,80818,TRUE
18421_MountHopeRiverSite3_071118_080818,18421,MountHopeRiverSite3,71118,80818,TRUE
18421_MountHopeRiverSite1_080818_090518,18421,MountHopeRiverSite1,80818,90518,TRUE
18421_MountHopeRiverSite2_080818_090518,18421,MountHopeRiverSite2,80818,90518,TRUE
18421_MountHopeRiverSite3_080818_090518,18421,MountHopeRiverSite3,80818,90518,TRUE
14523_BurtonBrookSite2_082118_091918,14523,BurtonBrookSite2,82118,91918,TRUE
18421_MountHopeRiverSite1_090518_101718,18421,MountHopeRiverSite1,90518,101718,TRUE
18421_MountHopeRiverSite2_090518_101718,18421,MountHopeRiverSite2,90518,101718,TRUE
18421_MountHopeRiverSite3_090518_101718,18421,MountHopeRiverSite3,90518,101718,TRUE
14523_BurtonBrookSite2_091918_103118,14523,BurtonBrookSite2,91918,103118,TRUE
18421_MountHopeRiverSite1_101718_111918,18421,MountHopeRiverSite1,101718,111918,TRUE
18421_MountHopeRiverSite2_101718_112118,18421,MountHopeRiverSite2,101718,112118,TRUE
18421_MountHopeRiverSite3_101718_020419,18421,MountHopeRiverSite3,101718,20419,TRUE
